1.16619	1.08167	1	0.921954	0.848528	0.781025	0.72111	0.67082	0.632456	0.608276	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.608276	0.632456	0.67082	0.72111	0.781025	0.848528	0.921954	1	1.08167	1.16619
1.22066	1.14018	1.06301	0.989949	0.921954	0.860233	0.806226	0.761577	0.728011	0.707107	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.707107	0.728011	0.761577	0.806226	0.860233	0.921954	0.989949	1.06301	1.14018	1.22066
1.28062	1.20416	1.13137	1.06301	1	0.943398	0.894427	0.8544	0.824621	0.806226	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.806226	0.824621	0.8544	0.894427	0.943398	1	1.06301	1.13137	1.20416	1.28062
1.34536	1.27279	1.20416	1.14018	1.08167	1.02956	0.984886	0.948683	0.921954	0.905539	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.905539	0.921954	0.948683	0.984886	1.02956	1.08167	1.14018	1.20416	1.27279	1.34536
1.41421	1.34536	1.28062	1.22066	1.16619	1.11803	1.07703	1.04403	1.0198	1.00499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.00499	1.0198	1.04403	1.07703	1.11803	1.16619	1.22066	1.28062	1.34536	1.41421
1.48661	1.42127	1.36015	1.30384	1.253	1.2083	1.17047	1.14018	1.11803	1.10454	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.10454	1.11803	1.14018	1.17047	1.2083	1.253	1.30384	1.36015	1.42127	1.48661
1.56205	1.5	1.44222	1.38924	1.34164	1.3	1.26491	1.23693	1.21655	1.20416	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.20416	1.21655	1.23693	1.26491	1.3	1.34164	1.38924	1.44222	1.5	1.56205
1.64012	1.58114	1.52643	1.47648	1.43178	1.39284	1.36015	1.33417	1.31529	1.30384	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.30384	1.31529	1.33417	1.36015	1.39284	1.43178	1.47648	1.52643	1.58114	1.64012
1.72047	1.66433	1.61245	1.56525	1.52315	1.48661	1.45602	1.43178	1.41421	1.40357	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.40357	1.41421	1.43178	1.45602	1.48661	1.52315	1.56525	1.61245	1.66433	1.72047
1.80278	1.74929	1.7	1.65529	1.61555	1.58114	1.55242	1.52971	1.51327	1.50333	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.50333	1.51327	1.52971	1.55242	1.58114	1.61555	1.65529	1.7	1.74929	1.80278
1.8868	1.83576	1.78885	1.74642	1.7088	1.67631	1.64924	1.62788	1.61245	1.60312	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.6	1.60312	1.61245	1.62788	1.64924	1.67631	1.7088	1.74642	1.78885	1.83576	1.8868
1.97231	1.92354	1.87883	1.83848	1.80278	1.772	1.74642	1.72627	1.71172	1.70294	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.70294	1.71172	1.72627	1.74642	1.772	1.80278	1.83848	1.87883	1.92354	1.97231
2.05913	2.01246	1.96977	1.93132	1.89737	1.86815	1.84391	1.82483	1.81108	1.80278	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.8	1.80278	1.81108	1.82483	1.84391	1.86815	1.89737	1.93132	1.96977	2.01246	2.05913
2.14709	2.10238	2.06155	2.02485	1.99249	1.96469	1.94165	1.92354	1.9105	1.90263	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.90263	1.9105	1.92354	1.94165	1.96469	1.99249	2.02485	2.06155	2.10238	2.14709
2.23607	2.19317	2.15407	2.11896	2.08806	2.06155	2.03961	2.02237	2.00998	2.0025	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2.0025	2.00998	2.02237	2.03961	2.06155	2.08806	2.11896	2.15407	2.19317	2.23607
